age,agent,career_stats_career_assists,career_stats_career_goals,citizenship,club,market_value,national_caps,national_goals,position,season_stats_appearances,season_stats_assists,season_stats_goals,season_stats_minutes,league,season_ga,market_value_bin
36,No Agent,27.0,0.0,Germany,Bayern Munich,500000.0,0.0,0.0,Goalkeeper,2.0,0.0,0.0,135.0,bundesliga,0.0,0
26,No Agent,14.0,10.0,France,Bayern Munich,50000000.0,30.0,2.0,Centre-Back,35.0,1.0,2.0,2980.0,bundesliga,3.0,3
28,No Agent,5.0,10.0,South,Bayern Munich,40000000.0,69.0,4.0,Centre-Back,43.0,0.0,3.0,3593.0,bundesliga,3.0,3
29,No Agent,17.0,22.0,Germany,Bayern Munich,30000000.0,37.0,0.0,Centre-Back,51.0,2.0,4.0,4579.0,bundesliga,6.0,3
24,No Agent,5.0,2.0,Israel,Bayern Munich,3000000.0,7.0,0.0,Goalkeeper,6.0,0.0,0.0,521.0,bundesliga,0.0,1
21,ROOF,6.0,0.0,Germany,Bayern Munich,12000000.0,8.0,0.0,Goalkeeper,0.0,0.0,0.0,0.0,bundesliga,0.0,2
39,PRO Profil GmbH,23.0,0.0,Germany,Bayern Munich,4000000.0,124.0,0.0,Goalkeeper,37.0,0.0,0.0,3180.0,bundesliga,0.0,1
24,ATG Sports,51.0,28.0,Canada,Bayern Munich,50000000.0,58.0,15.0,Left-Back,31.0,4.0,3.0,2416.0,bundesliga,7.0,3
20,11WINS,1.0,2.0,Germany,Bayern Munich,500000.0,0.0,0.0,Centre-Back,2.0,0.0,0.0,66.0,bundesliga,0.0,0
26,No Agent,7.0,7.0,Japan,Bayern Munich,25000000.0,21.0,1.0,Centre-Back,8.0,0.0,1.0,282.0,bundesliga,1.0,3
31,No Agent,18.0,19.0,England,Bayern Munich,8000000.0,49.0,3.0,Centre-Back,28.0,1.0,3.0,1833.0,bundesliga,4.0,2
31,Wasserman,65.0,63.0,Portugal,Bayern Munich,8000000.0,65.0,4.0,Left-Back,36.0,3.0,5.0,2356.0,bundesliga,8.0,2
28,ROOF,36.0,29.0,Austria,Bayern Munich,25000000.0,49.0,5.0,Right-Back,43.0,3.0,3.0,2730.0,bundesliga,6.0,3
24,CAA Stellar,11.0,8.0,France,Bayern Munich,18000000.0,0.0,0.0,Right-Back,18.0,4.0,1.0,804.0,bundesliga,5.0,3
25,No Agent,13.0,8.0,Croatia,Bayern Munich,32000000.0,0.0,0.0,Right-Back,23.0,2.0,0.0,1556.0,bundesliga,2.0,3
19,Footfeel ISM,9.0,7.0,Morocco,Bayern Munich,4000000.0,3.0,0.0,Left-Back,29.0,2.0,2.0,1934.0,bundesliga,4.0,1
21,No Agent,7.0,6.0,Germany,Bayern Munich,55000000.0,5.0,1.0,Defensive Midfield,30.0,1.0,1.0,1967.0,bundesliga,2.0,3
30,No Agent,132.0,57.0,Germany,Bayern Munich,45000000.0,101.0,8.0,Defensive Midfield,52.0,12.0,3.0,4557.0,bundesliga,15.0,3
30,ROOF,77.0,96.0,Germany,Bayern Munich,22000000.0,0.0,0.0,Central Midfield,41.0,2.0,5.0,2316.0,bundesliga,7.0,3
19,Sports360 GmbH,21.0,26.0,Germany,Bayern Munich,30000000.0,1.0,0.0,Central Midfield,41.0,3.0,6.0,3291.0,bundesliga,9.0,3
29,No Agent,5.0,23.0,Portugal,Bayern Munich,30000000.0,34.0,2.0,Defensive Midfield,24.0,0.0,0.0,941.0,bundesliga,0.0,3
22,11WINS,0.0,0.0,Germany,Bayern Munich,140000000.0,40.0,8.0,Attacking Midfield,42.0,8.0,21.0,2925.0,bundesliga,29.0,3
29,ROOF,81.0,134.0,Germany,Bayern Munich,22000000.0,51.0,22.0,Left Winger,44.0,9.0,7.0,2070.0,bundesliga,16.0,3
23,No Agent,67.0,51.0,France,Bayern Munich,100000000.0,8.0,2.0,Right Winger,52.0,23.0,20.0,3617.0,bundesliga,43.0,3
29,No Agent,125.0,133.0,Germany,Bayern Munich,32000000.0,70.0,14.0,Right Winger,46.0,6.0,13.0,2399.0,bundesliga,19.0,3
35,No Agent,281.0,292.0,Germany,Bayern Munich,6000000.0,131.0,45.0,Second Striker,46.0,8.0,8.0,1820.0,bundesliga,16.0,2
29,No Agent,73.0,74.0,France,Bayern Munich,30000000.0,58.0,8.0,Left Winger,43.0,6.0,9.0,1951.0,bundesliga,15.0,3
21,No Agent,16.0,38.0,Croatia,Bayern Munich,3000000.0,21.0,2.0,Second Striker,6.0,0.0,0.0,70.0,bundesliga,0.0,1
31,Dirk Hebel,3.0,0.0,Germany,B. Leverkusen,250000.0,0.0,0.0,Goalkeeper,0.0,0.0,0.0,0.0,bundesliga,0.0,0
35,No Agent,20.0,0.0,Finland,B. Leverkusen,2000000.0,0.0,0.0,Goalkeeper,35.0,0.0,0.0,3150.0,bundesliga,0.0,1
31,No Agent,105.0,390.0,England,Bayern Munich,75000000.0,107.0,73.0,Centre-Forward,0.0,0.0,0.0,0.0,bundesliga,0.0,3
23,AS1,5.0,7.0,Ecuador,B. Leverkusen,50000000.0,46.0,3.0,Centre-Back,45.0,2.0,3.0,3787.0,bundesliga,5.0,3
25,SPORT INVEST,7.0,0.0,Republic,B. Leverkusen,5000000.0,13.0,0.0,Goalkeeper,15.0,0.0,0.0,1380.0,bundesliga,0.0,1
29,Wasserman,111.0,49.0,Spain,B. Leverkusen,30000000.0,10.0,0.0,Left-Back,48.0,13.0,4.0,3869.0,bundesliga,17.0,3
20,One Team Football,1.0,0.0,France,B. Leverkusen,15000000.0,3.0,0.0,Centre-Back,9.0,0.0,0.0,251.0,bundesliga,0.0,2
30,No Agent,12.0,16.0,Spain,B. Leverkusen,7000000.0,5.0,0.0,Centre-Back,20.0,0.0,1.0,1062.0,bundesliga,1.0,2
24,Prolific Sports ...,59.0,36.0,Netherlands,B. Leverkusen,50000000.0,13.0,1.0,Right-Back,48.0,12.0,5.0,3457.0,bundesliga,17.0,3
22,Roc Nation Sports,5.0,0.0,Brazil,B. Leverkusen,7000000.0,0.0,0.0,Right-Back,28.0,1.0,0.0,1012.0,bundesliga,1.0,2
26,No Agent,7.0,23.0,Faso,B. Leverkusen,35000000.0,0.0,0.0,Centre-Back,0.0,0.0,0.0,0.0,bundesliga,0.0,3
27,Sport Cover,19.0,14.0,France,B. Leverkusen,10000000.0,1.0,0.0,Right-Back,24.0,1.0,2.0,1582.0,bundesliga,3.0,2
26,Eleven Talent Group,27.0,25.0,Argentina,B. Leverkusen,40000000.0,36.0,0.0,Central Midfield,0.0,0.0,0.0,0.0,bundesliga,0.0,3
25,CAA Stellar,30.0,46.0,Nigeria,B. Leverkusen,15000000.0,2.0,0.0,Right Midfield,40.0,5.0,4.0,2004.0,bundesliga,9.0,2
27,No Agent,31.0,22.0,Spain,B. Leverkusen,20000000.0,5.0,0.0,Central Midfield,42.0,4.0,5.0,2119.0,bundesliga,9.0,3
30,No Agent,33.0,63.0,Germany,B. Leverkusen,9000000.0,18.0,0.0,Defensive Midfield,35.0,2.0,2.0,2169.0,bundesliga,4.0,2
32,Signature - ISCM AG,53.0,55.0,Switzerland,B. Leverkusen,12000000.0,137.0,14.0,Defensive Midfield,49.0,7.0,2.0,4185.0,bundesliga,9.0,2
28,Universal Twenty Two,64.0,55.0,Argentina,B. Leverkusen,15000000.0,1.0,0.0,Attacking Midfield,34.0,0.0,5.0,786.0,bundesliga,5.0,2
22,No Agent,0.0,0.0,Germany,B. Leverkusen,140000000.0,31.0,7.0,Attacking Midfield,45.0,15.0,16.0,3392.0,bundesliga,31.0,3
32,No Agent,99.0,107.0,Germany,B. Leverkusen,2000000.0,23.0,4.0,Attacking Midfield,17.0,2.0,3.0,651.0,bundesliga,5.0,1
28,FAIR SPORT MNG,32.0,80.0,France,B. Leverkusen,17000000.0,13.0,7.0,Left Winger,20.0,2.0,2.0,722.0,bundesliga,4.0,3
24,Aneke/PMG,30.0,72.0,Nigeria,B. Leverkusen,40000000.0,13.0,1.0,Centre-Forward,27.0,2.0,11.0,1387.0,bundesliga,13.0,3
29,No Agent,25.0,122.0,Republic,B. Leverkusen,27000000.0,46.0,24.0,Centre-Forward,45.0,1.0,27.0,2505.0,bundesliga,28.0,3
25,Concept Sport Agency,32.0,36.0,Morocco,B. Leverkusen,18000000.0,15.0,1.0,Left Winger,0.0,0.0,0.0,0.0,bundesliga,0.0,3
34,No Agent,7.0,0.0,Germany,Bor. Dortmund,800000.0,0.0,0.0,Goalkeeper,4.0,0.0,0.0,315.0,bundesliga,0.0,0
19,Hernan Berman,1.0,13.0,Argentina,B. Leverkusen,800000.0,0.0,0.0,Centre-Forward,4.0,0.0,0.0,291.0,bundesliga,0.0,0
27,SBE Management AG,3.0,0.0,Switzerland,Bor. Dortmund,40000000.0,13.0,0.0,Goalkeeper,49.0,0.0,0.0,4395.0,bundesliga,0.0,3
24,SEG,10.0,0.0,Germany,Bor. Dortmund,800000.0,2.0,0.0,Goalkeeper,26.0,0.0,0.0,2340.0,bundesliga,0.0,0
21,No Agent,5.0,0.0,Germany,Bor. Dortmund,200000.0,0.0,0.0,Goalkeeper,12.0,0.0,0.0,1080.0,bundesliga,0.0,0
28,No Agent,16.0,22.0,Germany,Bor. Dortmund,18000000.0,8.0,0.0,Centre-Back,39.0,3.0,3.0,2808.0,bundesliga,6.0,3
21,Epic Coulibaly,1.0,0.0,France,Bor. Dortmund,8000000.0,4.0,0.0,Centre-Back,0.0,0.0,0.0,0.0,bundesliga,0.0,2
23,KSM AGENCY,25.0,11.0,Sweden,Bor. Dortmund,12000000.0,0.0,0.0,Left-Back,37.0,6.0,1.0,3006.0,bundesliga,7.0,2
29,Sports360 GmbH,14.0,22.0,Germany,Bor. Dortmund,8000000.0,49.0,1.0,Centre-Back,23.0,0.0,0.0,1604.0,bundesliga,0.0,2
