age,agent,birth_date,career_stats_career_appearances,career_stats_career_assists,career_stats_career_goals,career_stats_career_minutes,citizenship,club,height,market_value,name,national_caps,national_goals,position,profile_url,season_stats_appearances,season_stats_assists,season_stats_goals,season_stats_minutes
36,,"Aug 3, 1988",451,27,,40481,Germany,Bayern Munich,"1,92 m","€500k Jun 5, 2025",Sven Ulreich,0,0,Goalkeeper,https://www.transfermarkt.com/sven-ulreich/profil/spieler/40680,2,,,135'
26,,"Oct 27, 1998",345,14,10,27718,France,Bayern Munich,"1,86 m","€50.00m Jun 5, 2025",Dayot Upamecano,30,2,Centre-Back,https://www.transfermarkt.com/dayot-upamecano/profil/spieler/344695,35,1,2,"2,980'"
28,,"Nov 15, 1996",300,5,10,25285,South,Bayern Munich,"1,90 m","€40.00m Jun 5, 2025",Min-jae Kim,69,4,Centre-Back,https://www.transfermarkt.com/min-jae-kim/profil/spieler/503482,43,-,3,"3,593'"
29,,"Feb 11, 1996",513,17,22,43825,Germany,Bayern Munich,"1,95 m","€30.00m Jun 5, 2025",Jonathan Tah,37,0,Centre-Back,https://www.transfermarkt.com/jonathan-tah/profil/spieler/196357,51,2,4,"4,579'"
24,,"Jul 10, 2000",142,5,2,12747,Israel,Bayern Munich,"1,90 m","€3.00m Jun 5, 2025",Daniel Peretz,7,0,Goalkeeper,https://www.transfermarkt.com/daniel-peretz/profil/spieler/468539,6,,,521'
21,ROOF,"Aug 8, 2003",139,6,,12448,Germany,Bayern Munich,"1,89 m","€12.00m Jun 5, 2025",Jonas Urbig,8,0,Goalkeeper,https://www.transfermarkt.com/jonas-urbig/profil/spieler/607720,,,,
39,PRO Profil GmbH,"Mar 27, 1986",818,23,,73656,Germany,Bayern Munich,"1,93 m","€4.00m Jun 5, 2025",Manuel Neuer,124,0,Goalkeeper,https://www.transfermarkt.com/manuel-neuer/profil/spieler/17259,37,,,"3,180'"
24,ATG Sports,"Nov 2, 2000",326,51,28,22824,Canada,Bayern Munich,"1,83 m","€50.00m Jun 5, 2025",Alphonso Davies,58,15,Left-Back,https://www.transfermarkt.com/alphonso-davies/profil/spieler/424204,31,4,3,"2,416'"
20,11WINS,"Feb 28, 2005",43,1,2,3318,Germany,Bayern Munich,"1,88 m","€500k Jun 5, 2025",Tarek Buchmann,0,0,Centre-Back,https://www.transfermarkt.com/tarek-buchmann/profil/spieler/744729,2,-,-,66'
26,,"May 12, 1999",177,7,7,13832,Japan,Bayern Munich,"1,88 m","€25.00m Jun 5, 2025",Hiroki Ito,21,1,Centre-Back,https://www.transfermarkt.com/hiroki-ito/profil/spieler/353892,8,-,1,282'
31,,"Jan 15, 1994",475,18,19,38385,England,Bayern Munich,"1,91 m","€8.00m Jun 5, 2025",Eric Dier,49,3,Centre-Back,https://www.transfermarkt.com/eric-dier/profil/spieler/175722,28,1,3,"1,833'"
31,Wasserman,"Dec 22, 1993",495,65,63,37790,Portugal,Bayern Munich,"1,70 m","€8.00m Jun 5, 2025",Raphaël Guerreiro,65,4,Left-Back,https://www.transfermarkt.com/raphael-guerreiro/profil/spieler/170986,36,3,5,"2,356'"
28,ROOF,"May 27, 1997",398,36,29,26785,Austria,Bayern Munich,"1,80 m","€25.00m Jun 5, 2025",Konrad Laimer,49,5,Right-Back,https://www.transfermarkt.com/konrad-laimer/profil/spieler/223967,43,3,3,"2,730'"
24,CAA Stellar,"Sep 13, 2000",171,11,8,13316,France,Bayern Munich,"1,78 m","€18.00m Jun 5, 2025",Sacha Boey,0,0,Right-Back,https://www.transfermarkt.com/sacha-boey/profil/spieler/475413,18,4,1,804'
25,,"Apr 2, 2000",199,13,8,12934,Croatia,Bayern Munich,"1,87 m","€32.00m Jun 5, 2025",Josip Stanisic,,,Right-Back,https://www.transfermarkt.com/josip-stanisic/profil/spieler/483046,23,2,-,"1,556'"
19,Footfeel ISM,"Jun 2, 2006",72,9,7,4956,Morocco,Bayern Munich,"1,78 m","€4.00m Jun 9, 2025",Adam Aznou,3,0,Left-Back,https://www.transfermarkt.com/adam-aznou/profil/spieler/938146,29,2,2,"1,934'"
21,,"May 3, 2004",100,7,6,6650,Germany,Bayern Munich,"1,88 m","€55.00m Jun 5, 2025",Aleksandar Pavlovic,5,1,Defensive Midfield,https://www.transfermarkt.com/aleksandar-pavlovic/profil/spieler/792380,30,1,1,"1,967'"
