age,agent,birth_date,career_stats_career_appearances,career_stats_career_assists,career_stats_career_goals,career_stats_career_minutes,citizenship,club,height,market_value,name,national_caps,national_goals,position,profile_url,season_stats_appearances,season_stats_assists,season_stats_goals,season_stats_minutes
24,ARETÉ,"Sep 16, 2000",250,12,3,16267,England,Leicester,"1,75 m","€10.00m May 30, 2025",Oliver Skipp,24,0,Defensive Midfield,https://www.transfermarkt.com/oliver-skipp/profil/spieler/406638,28,-,-,"1,315'"
23,Unique Sports Group,"Dec 9, 2001",209,18,54,12286,England,Southampton,"1,75 m","€12.00m May 30, 2025",Cameron Archer,,,Centre-Forward,https://www.transfermarkt.com/cameron-archer/profil/spieler/533662,40,-,5,"1,690'"
29,CAA Stellar,"Feb 2, 1996",328,9,11,22619,England,Leicester,"1,78 m","€9.00m May 30, 2025",Harry Winks,10,1,Defensive Midfield,https://www.transfermarkt.com/harry-winks/profil/spieler/249126,25,3,1,"1,722'"
25,,"Feb 21, 2000",234,24,25,16528,Ireland,Southampton,"1,83 m","€6.00m May 30, 2025",Will Smallbone,13,0,Central Midfield,https://www.transfermarkt.com/will-smallbone/profil/spieler/444211,20,-,1,713'
19,Unique Sports Group,"May 23, 2006",54,8,9,3365,England,Leicester,"1,80 m","€2.00m May 30, 2025",Michael Golding,2,0,Central Midfield,https://www.transfermarkt.com/michael-golding/profil/spieler/936842,11,1,1,696'
26,Wasserman,"Jan 20, 1999",249,9,7,17137,England,Southampton,"1,78 m","€13.00m May 30, 2025",Flynn Downes,6,0,Defensive Midfield,https://www.transfermarkt.com/flynn-downes/profil/spieler/506189,29,-,1,"2,256'"
20,SEG,"Mar 21, 2005",105,22,34,7913,England,Man City,"1,93 m","€18.00m May 30, 2025",Nico O'Reilly,3,0,Attacking Midfield,https://www.transfermarkt.com/nico-oreilly/profil/spieler/743413,30,3,7,"2,157'"
21,,"May 10, 2004",136,19,7,9545,Morocco,Leicester,"1,80 m","€28.00m May 30, 2025",Bilal El Khannouss,22,1,Attacking Midfield,https://www.transfermarkt.com/bilal-el-khannouss/profil/spieler/654982,37,6,3,"2,499'"
33,Wasserman,"Sep 11, 1991",561,55,91,36060,Ghana,Leicester,"1,82 m","€2.50m May 30, 2025",Jordan Ayew,104,28,Right Winger,https://www.transfermarkt.com/jordan-ayew/profil/spieler/108354,36,1,6,"1,949'"
21,PINTEX SPORTS AGENCY,"Mar 8, 2004",89,17,18,5639,Ghana,Leicester,"1,77 m","€11.00m May 30, 2025",Issahaku Fatawu,19,2,Right Winger,https://www.transfermarkt.com/issahaku-fatawu/profil/spieler/864121,13,2,-,674'
32,,"Feb 2, 1993",467,54,71,29786,Jamaica,Leicester,"1,70 m","€2.50m May 30, 2025",Bobby De Cordova-Reid,38,6,Right Winger,https://www.transfermarkt.com/bobby-de-cordova-reid/profil/spieler/186186,27,3,2,975'
20,CAA Stellar,"Dec 23, 2004",119,7,15,6266,Argentina,Leicester,"1,74 m","€20.00m May 30, 2025",Facundo Buonanotte,,,Attacking Midfield,https://www.transfermarkt.com/facundo-buonanotte/profil/spieler/983989,35,3,6,"1,701'"
27,,"May 31, 1998",339,20,85,21119,England,Leicester,"1,82 m","€10.00m May 30, 2025",Stephy Mavididi,3,3,Left Winger,https://www.transfermarkt.com/stephy-mavididi/profil/spieler/340328,33,1,6,"1,791'"
23,Two Touch Agency,"Nov 22, 2001",144,5,26,8447,Ireland,Leicester,"1,77 m","€2.00m May 30, 2025",Kasey McAteer,6,1,Right Winger,https://www.transfermarkt.com/kasey-mcateer/profil/spieler/621193,23,1,1,"1,059'"
27,,"Jan 16, 1998",330,43,117,20022,France,Leicester,"1,87 m","€8.00m May 30, 2025",Odsonne Edouard,14,17,Centre-Forward,https://www.transfermarkt.com/odsonne-edouard/profil/spieler/344152,8,-,-,229'
38,Wasserman,"Jan 11, 1987",544,88,237,40412,England,Leicester,"1,79 m","€1.00m May 30, 2025",Jamie Vardy,26,7,Centre-Forward,https://www.transfermarkt.com/jamie-vardy/profil/spieler/197838,36,4,10,"2,899'"
26,Wasserman,"Oct 9, 1998",275,48,99,14486,Zambia,Leicester,"1,83 m","€9.00m May 30, 2025",Patson Daka,35,12,Centre-Forward,https://www.transfermarkt.com/patson-daka/profil/spieler/365172,25,1,1,832'
26,11WINS,"Nov 7, 1998",189,18,,16998,Kosovo,Ipswich,"1,98 m","€5.00m May 30, 2025",Arijanet Muric,36,0,Goalkeeper,https://www.transfermarkt.com/arijanet-muric/profil/spieler/371021,,,,
28,,"Aug 10, 1996",306,13,,27476,England,Ipswich,"1,91 m","€1.00m May 30, 2025",Alex Palmer,4,0,Goalkeeper,https://www.transfermarkt.com/alex-palmer/profil/spieler/245625,45,,,"4,080'"
22,Unique Sports Group,"Sep 15, 2002",62,2,,5387,Scotland,Ipswich,,"€300k May 30, 2025",Cieran Slicker,1,0,Goalkeeper,https://www.transfermarkt.com/cieran-slicker/profil/spieler/621997,1,,,9'
29,Refuel Performance ...,"Nov 9, 1995",296,14,,26544,England,Ipswich,"1,95 m","€1.00m May 30, 2025",Christian Walton,1,0,Goalkeeper,https://www.transfermarkt.com/christian-walton/profil/spieler/208379,8,,,720'
24,CAA Stellar,"Sep 12, 2000",240,8,8,21001,England,Ipswich,"1,93 m","€18.00m May 30, 2025",Jacob Greaves,,,Centre-Back,https://www.transfermarkt.com/jacob-greaves/profil/spieler/693095,26,-,1,"2,279'"
26,Refuel Performance ...,"Oct 21, 1998",270,4,8,23331,England,Ipswich,"1,93 m","€2.00m May 30, 2025",Luke Woolfenden,,,Centre-Back,https://www.transfermarkt.com/luke-woolfenden/profil/spieler/527425,18,-,-,"1,487'"
27,,"Jan 15, 1998",273,5,7,21346,England,Ipswich,"1,84 m","€6.00m May 30, 2025",Ben Godfrey,2,0,Centre-Back,https://www.transfermarkt.com/ben-godfrey/profil/spieler/343475,,,,
25,,"Jan 24, 2000",215,11,4,15125,England,Ipswich,"1,84 m","€8.00m May 30, 2025",Ben Johnson,,,Right-Back,https://www.transfermarkt.com/ben-johnson/profil/spieler/468002,27,3,1,"1,615'"
27,Unique Sports Group,"Nov 14, 1997",173,3,3,12682,Congo,Ipswich,"1,85 m","€5.00m May 30, 2025",Axel Tuanzebe,3,0,Right-Back,https://www.transfermarkt.com/axel-tuanzebe/profil/spieler/342046,,,,
