age,agent,birth_date,career_stats_career_appearances,career_stats_career_assists,career_stats_career_goals,career_stats_career_minutes,citizenship,club,height,market_value,name,national_caps,national_goals,position,profile_url,season_stats_appearances,season_stats_assists,season_stats_goals,season_stats_minutes
26,Team Raiola,"Feb 25, 1999",417,36,,37259,Italy,Paris SG,"1,96 m","€40.00m Jun 3, 2025",Gianluigi Donnarumma,74,0,Goalkeeper,https://www.transfermarkt.com/gianluigi-donnarumma/profil/spieler/315858,42,,,"3,742'"
21,,"Nov 24, 2003",123,,6,9971,Brazil,Paris SG,"1,86 m","€25.00m Jun 3, 2025",Lucas Beraldo,,,Centre-Back,https://www.transfermarkt.com/lucas-beraldo/profil/spieler/872171,34,-,1,"2,541'"
26,,"Feb 25, 1999",254,10,,22727,Russia,Paris SG,"1,92 m","€20.00m Jun 3, 2025",Matvey Safonov,14,0,Goalkeeper,https://www.transfermarkt.com/matvey-safonov/profil/spieler/318470,17,,,"1,508'"
29,,"Aug 13, 1995",285,2,4,23626,France,Paris SG,"1,83 m","€5.00m Jun 3, 2025",Presnel Kimpembe,28,0,Centre-Back,https://www.transfermarkt.com/presnel-kimpembe/profil/spieler/282041,5,-,-,76'
23,,"Oct 16, 2001",195,5,,16501,Ecuador,Paris SG,"1,87 m","€65.00m Jun 3, 2025",Willian Pacho,26,2,Centre-Back,https://www.transfermarkt.com/willian-pacho/profil/spieler/661171,54,2,-,"4,283'"
31,Bertolucci Sports,"May 14, 1994",530,13,41,44008,Brazil,Paris SG,"1,83 m","€35.00m Jun 3, 2025",Marquinhos,99,7,Centre-Back,https://www.transfermarkt.com/marquinhos/profil/spieler/181767,43,-,3,"3,615'"
19,Gestifute,"Mar 8, 2006",158,12,13,10221,France,Paris SG,"1,78 m","€55.00m Jun 3, 2025",Warren Zaïre-Emery,,,Central Midfield,https://www.transfermarkt.com/warren-zaire-emery/profil/spieler/810092,50,2,3,"3,028'"
19,,"Sep 28, 2005",49,1,2,2735,Brazil,Paris SG,"1,85 m","€8.00m Jun 3, 2025",Gabriel Moscardo,9,1,Defensive Midfield,https://www.transfermarkt.com/gabriel-moscardo/profil/spieler/1086636,10,-,1,256'
23,AS1,"Jun 19, 2002",195,23,11,14203,Portugal,Paris SG,"1,80 m","€70.00m Jun 3, 2025",Nuno Mendes,37,1,Left-Back,https://www.transfermarkt.com/nuno-mendes/profil/spieler/616341,48,6,6,"3,661'"
29,,"Feb 14, 1996",321,15,7,23207,France,Paris SG,"1,84 m","€25.00m Jun 3, 2025",Lucas Hernández,39,0,Left-Back,https://www.transfermarkt.com/lucas-hernandez/profil/spieler/281963,27,-,-,"1,280'"
24,,"Feb 12, 2001",251,61,59,17597,Georgia,Paris SG,"1,83 m","€90.00m Jun 3, 2025",Khvicha Kvaratskhelia,41,18,Left Winger,https://www.transfermarkt.com/khvicha-kvaratskhelia/profil/spieler/502670,46,11,12,"3,261'"
29,YOU FIRST,"Apr 3, 1996",394,44,41,27396,Spain,Paris SG,"1,89 m","€40.00m Jun 3, 2025",Fabián Ruiz,,,Central Midfield,https://www.transfermarkt.com/fabian-ruiz/profil/spieler/350219,56,10,6,"3,589'"
19,,"May 17, 2006",73,12,18,3893,France,Paris SG,"1,83 m","€15.00m Jun 3, 2025",Senny Mayulu,5,2,Central Midfield,https://www.transfermarkt.com/senny-mayulu/profil/spieler/903693,31,3,6,"1,149'"
25,Gestifute,"Feb 13, 2000",256,24,33,16748,Portugal,Paris SG,"1,72 m","€80.00m Jun 3, 2025",Vitinha,29,0,Central Midfield,https://www.transfermarkt.com/vitinha/profil/spieler/487469,54,3,8,"4,071'"
22,Gestifute,"Sep 2, 2002",188,46,44,11282,France,Paris SG,"1,82 m","€70.00m Jun 3, 2025",Bradley Barcola,14,2,Left Winger,https://www.transfermarkt.com/bradley-barcola/profil/spieler/708265,59,19,21,"3,678'"
20,Gestifute,"Sep 27, 2004",167,17,10,10961,Portugal,Paris SG,"1,74 m","€80.00m Jun 3, 2025",João Neves,16,0,Defensive Midfield,https://www.transfermarkt.com/joao-neves/profil/spieler/670681,54,9,5,"3,885'"
28,,"May 15, 1997",355,96,101,22685,France,Paris SG,"1,78 m","€90.00m Jun 3, 2025",Ousmane Dembélé,56,7,Right Winger,https://www.transfermarkt.com/ousmane-dembele/profil/spieler/288230,49,15,33,"3,290'"
24,,"Feb 19, 2001",247,27,27,13486,South,Paris SG,"1,74 m","€25.00m Jun 3, 2025",Kang-in Lee,36,9,Right Winger,https://www.transfermarkt.com/kang-in-lee/profil/spieler/557149,47,6,7,"2,426'"
24,Gestifute,"Jun 20, 2001",244,29,100,13745,Portugal,Paris SG,"1,85 m","€40.00m Jun 3, 2025",Gonçalo Ramos,16,9,Centre-Forward,https://www.transfermarkt.com/goncalo-ramos/profil/spieler/550550,43,6,18,"1,751'"
17,,"Jan 24, 2008",47,22,16,2924,France,Paris SG U23,"1,75 m","€3.00m Jun 3, 2025",Ibrahim Mbaye,0,0,Right Winger,https://www.transfermarkt.com/ibrahim-mbaye/profil/spieler/1185888,23,8,7,"1,354'"
20,,"Jun 3, 2005",154,24,26,8483,France,Paris SG,"1,81 m","€90.00m Jun 3, 2025",Désiré Doué,,,Right Winger,https://www.transfermarkt.com/desire-doue/profil/spieler/914562,56,16,15,"3,178'"
28,,"Sep 21, 1996",414,18,22,30667,Germany,Monaco,"1,86 m","€20.00m Jun 3, 2025",Thilo Kehrer,28,0,Centre-Back,https://www.transfermarkt.com/thilo-kehrer/profil/spieler/228948,40,1,5,"3,474'"
